Country Name,Country Code,2013
Aruba,ABW,
Andorra,AND,
Afganistán,AFG,664.7645891555
Angola,AGO,5783.3667595864
Albania,ALB,4460.340971193
El mundo árabe,ARB,7715.9778090976
Emiratos Árabes Unidos,ARE,43048.8501491565
Argentina,ARG,14715.1800198309
Armenia,ARM,3504.7667584895
Samoa Americana,ASM,
Antigua y Barbuda,ATG,13342.0849977054
Australia,AUS,67463.0219299855
Austria,AUT,50510.7120335195
Azerbaiyán,AZE,7811.6214184582
Burundi,BDI,267.1093218674
Bélgica,BEL,46929.6354590432
Benin,BEN,804.6924985989
Burkina Faso,BFA,760.8529511887
Bangladesh,BGD,957.8242660289
Bulgaria,BGR,7498.8314844144
Bahrein,BHR,24689.105627649
Bahamas,BHS,22312.0829733898
Bosnia y Herzegovina,BIH,4661.7642446573
Belarús,BLR,7575.482110114
Belice,BLZ,4893.9266345285
Bermudas,BMU,
Bolivia,BOL,2867.6397914389
Brasil,BRA,11208.0827350494
Barbados,BRB,
Brunei Darussalam,BRN,38563.3145093197
Bhután,BTN,2362.5817365737
Botswana,BWA,7315.0192886989
República Centroafricana,CAF,333.1968806279
Canadá,CAN,51964.3302265425
,CEB,13605.7563349295
Suiza,CHE,84748.3653090717
Islas del Canal,CHI,
Chile,CHL,15732.3137736906
China,CHN,6807.4308241222
Côte d'Ivoire,CIV,1528.9375391082
Camerún,CMR,1328.6402053447
"Congo, República del",COG,3167.045322202
Colombia,COL,7831.215313174
Comoras,COM,814.9571488387
Cabo Verde,CPV,3767.1153636954
Costa Rica,CRI,10184.6056715087
Estados pequeos del Caribe,CSS,9572.8584721192
Cuba,CUB,
Curacao,CUW,
Islas Caimán,CYM,
Chipre,CYP,25248.9810656095
República Checa,CZE,19858.3434636115
Alemania,DEU,46251.3818043198
Djibouti,DJI,1668.336703229
Dominica,DMA,7175.62694147
Dinamarca,DNK,59818.6315281878
República Dominicana,REP,5878.9967209499
Argelia,DZA,5360.7011464518
Asia oriental y el Pacífico,EAP,5690.3208866181
Asia oriental y el Pacífico (todos los niveles de ingreso),EAS,9116.1595024348
Europa y Asia central,ECA,7347.539847824
Europa y Asia central (todos los niveles de ingreso),ECS,25484.6430945074
Ecuador,ECU,6002.885458891
"Egipto, República Árabe de",EGY,3314.4629279564
Zona del Euro,EMU,39116.3005083119
Eritrea,ERI,543.8219082612
España,ESP,29882.135792772
Estonia,EST,18877.3304932551
Etiopía,ETH,505.0457457542
Unión Europea,EUU,35416.8784287868
,FCS,1598.4312377302
Finlandia,FIN,49150.5773018023
Fiji,FJI,4375.4060217457
Francia,FRA,42560.413729594
Islas Feroe,FRO,
Micronesia (Estados Federados de),FSM,3054.0681223382
Gabón,GAB,11571.082919629
Reino Unido,GBR,41781.1490232051
Georgia,GEO,3596.9083196969
Ghana,GHA,1858.2425979812
Guinea,GIN,523.1190322279
Gambia,GMB,488.5655946247
Guinea-Bissau,GNB,563.7527714311
Guinea Ecuatorial,GNQ,20581.6059358535
Grecia,GRC,21965.926768399
Granada,GRD,7890.513319044
Groenlandia,GRL,
Guatemala,GTM,3477.8900609589
Guam,GUM,
Guyana,GUY,3739.4699948348
Ingreso alto,HIC,39108.3910262497
